,run,p,reward,agent
0,1,0.9,-1.0,RA
1,1,0.9,0.0,SRA
2,1,0.9,1.0,HA
3,1,0.9,1.0,NSA
4,1,0.9,1.0,naive SA
5,1,0.9,1.0,advanced SA
6,1,0.8,-1.0,RA
7,1,0.8,0.0,SRA
8,1,0.8,1.0,HA
9,1,0.8,1.0,NSA
10,1,0.8,1.0,naive SA
11,1,0.8,1.0,advanced SA
12,1,0.7,-1.0,RA
13,1,0.7,0.0,SRA
14,1,0.7,0.0,HA
15,1,0.7,1.0,NSA
16,1,0.7,0.0,naive SA
17,1,0.7,1.0,advanced SA
18,1,0.6,-1.0,RA
19,1,0.6,0.0,SRA
20,1,0.6,0.0,HA
21,1,0.6,1.0,NSA
22,1,0.6,0.0,naive SA
23,1,0.6,1.0,advanced SA
24,2,0.9,0.0,RA
25,2,0.9,0.0,SRA
26,2,0.9,1.0,HA
27,2,0.9,1.0,NSA
28,2,0.9,1.0,naive SA
29,2,0.9,1.0,advanced SA
30,2,0.8,-1.0,RA
31,2,0.8,0.0,SRA
32,2,0.8,0.0,HA
33,2,0.8,1.0,NSA
34,2,0.8,1.0,naive SA
35,2,0.8,1.0,advanced SA
36,2,0.7,-1.0,RA
37,2,0.7,0.0,SRA
38,2,0.7,1.0,HA
39,2,0.7,1.0,NSA
40,2,0.7,1.0,naive SA
41,2,0.7,1.0,advanced SA
42,2,0.6,0.0,RA
43,2,0.6,0.0,SRA
44,2,0.6,1.0,HA
45,2,0.6,1.0,NSA
46,2,0.6,0.0,naive SA
47,2,0.6,1.0,advanced SA
48,3,0.9,-1.0,RA
49,3,0.9,0.0,SRA
50,3,0.9,1.0,HA
51,3,0.9,1.0,NSA
52,3,0.9,0.0,naive SA
53,3,0.9,1.0,advanced SA
54,3,0.8,-1.0,RA
55,3,0.8,0.0,SRA
56,3,0.8,1.0,HA
57,3,0.8,1.0,NSA
58,3,0.8,1.0,naive SA
59,3,0.8,1.0,advanced SA
60,3,0.7,-1.0,RA
61,3,0.7,0.0,SRA
62,3,0.7,1.0,HA
63,3,0.7,1.0,NSA
64,3,0.7,1.0,naive SA
65,3,0.7,1.0,advanced SA
66,3,0.6,-1.0,RA
67,3,0.6,0.0,SRA
68,3,0.6,1.0,HA
69,3,0.6,1.0,NSA
70,3,0.6,0.0,naive SA
71,3,0.6,1.0,advanced SA
72,4,0.9,-1.0,RA
73,4,0.9,0.0,SRA
74,4,0.9,1.0,HA
75,4,0.9,1.0,NSA
76,4,0.9,1.0,naive SA
77,4,0.9,1.0,advanced SA
78,4,0.8,-1.0,RA
79,4,0.8,0.0,SRA
80,4,0.8,0.0,HA
81,4,0.8,1.0,NSA
82,4,0.8,0.0,naive SA
83,4,0.8,1.0,advanced SA
84,4,0.7,-1.0,RA
85,4,0.7,0.0,SRA
86,4,0.7,0.0,HA
87,4,0.7,1.0,NSA
88,4,0.7,0.0,naive SA
89,4,0.7,1.0,advanced SA
90,4,0.6,-1.0,RA
91,4,0.6,0.0,SRA
92,4,0.6,1.0,HA
93,4,0.6,1.0,NSA
94,4,0.6,1.0,naive SA
95,4,0.6,1.0,advanced SA
96,5,0.9,0.0,RA
97,5,0.9,0.0,SRA
98,5,0.9,1.0,HA
99,5,0.9,1.0,NSA
100,5,0.9,1.0,naive SA
101,5,0.9,1.0,advanced SA
102,5,0.8,-1.0,RA
103,5,0.8,0.0,SRA
104,5,0.8,0.0,HA
105,5,0.8,1.0,NSA
106,5,0.8,1.0,naive SA
107,5,0.8,1.0,advanced SA
108,5,0.7,-1.0,RA
109,5,0.7,0.0,SRA
110,5,0.7,1.0,HA
111,5,0.7,1.0,NSA
112,5,0.7,0.0,naive SA
113,5,0.7,1.0,advanced SA
114,5,0.6,-1.0,RA
115,5,0.6,0.0,SRA
116,5,0.6,0.0,HA
117,5,0.6,1.0,NSA
118,5,0.6,0.0,naive SA
119,5,0.6,1.0,advanced SA
120,6,0.9,0.0,RA
121,6,0.9,0.0,SRA
122,6,0.9,1.0,HA
123,6,0.9,1.0,NSA
124,6,0.9,1.0,naive SA
125,6,0.9,1.0,advanced SA
